cefKeyName,CommonSecurityLogName
deviceexternalid,DeviceExternalID
cef_name,Activity
act,DeviceAction
app,ApplicationProtocol
cat,DeviceEventCategory
cnt,EventCount
destinationdnsdomain,DestinationDnsDomain
destinationservicename,DestinationServiceName
destinationtranslatedaddress,DestinationTranslatedAddress
destinationtranslatedport,DestinationTranslatedPort
devicedirection,CommunicationDirection
devicednsdomain,DeviceDnsDomain
cef_signature_id,DeviceEventClassID
deviceinboundinterface,DeviceInboundInterface
devicentdomain,DeviceNtDomain
deviceoutboundinterface,DeviceOutboundInterface
devicepayloadid,DevicePayloadId
deviceprocessname,ProcessName
devicetranslatedaddress,DeviceTranslatedAddress
dhost,DestinationHostName
dmac,DestinationMacAddress
dntdom,DestinationNTDomain
dpid,DestinationProcessId
dpriv,DestinationUserPrivileges
dproc,DestinationProcessName
dpt,DestinationPort
dst,DestinationIP
dtz,DeviceTimeZone
duid,DestinationUserId
duser,DestinationUserName
dvc,DeviceAddress
dvchost,DeviceName
dvcmac,DeviceMacAddress
dvcpid,ProcessID
externalid,ExtID
filecreatetime,FileCreateTime
filehash,FileHash
fileid,FileID
filemodificationtime,FileModificationTime
filepath,FilePath
filepermission,FilePermission
filetype,FileType
fname,FileName
fsize,FileSize
host,Computer
in,ReceivedBytes
name,Activity
oldfilecreatetime,OldFileCreateTime
oldfilehash,OldFileHash
oldfileid,OldFileId
oldfilemodificationtime,OldFileModificationTime
oldfilename,OldFileName
oldfilepath,OldFilePath
oldfilepermission,OldFilePermission
oldfilesize,OldFileSize
oldfiletype,OldFileType
out,SentBytes
outcome,EventOutcome
proto,Protocol
reason,Reason
request,RequestURL
requestclientapplication,RequestClientApplication
requestcontext,RequestContext
requestcookies,RequestCookies
requestmethod,RequestMethod
rt,ReceiptTime
severity,LogSeverity
shost,SourceHostName
smac,SourceMacAddress
sntdom,SourceNTDomain
sourcednsdomain,SourceDnsDomain
sourceservicename,SourceServiceName
sourcetranslatedaddress,SourceTranslatedAddress
sourcetranslatedport,SourceTranslatedPort
spid,SourceProcessId
spriv,SourceUserPrivileges
sproc,SourceProcessName
spt,SourcePort
src,SourceIP
suid,SourceUserID
suser,SourceUserName
type,EventType
host,Computer
cef_severity,LogSeverity
facilityname,DeviceFacility
cs1,DeviceCustomString1
cs1label,DeviceCustomString1Label
cs2,DeviceCustomString2
cs2label,DeviceCustomString2Label
cs3,DeviceCustomString3
cs3label,DeviceCustomString3Label
cs4,DeviceCustomString4
cs4label,DeviceCustomString4Label
cs5,DeviceCustomString5
cs5label,DeviceCustomString5Label
cs6,DeviceCustomString6
cs6label,DeviceCustomString6Label
flexstring1,FlexString1
flexstring1label,FlexString1Label
flexstring2,FlexString2
flexstring2label,FlexString2Label
devicecustomdate1,DeviceCustomDate1
devicecustomdate1label,DeviceCustomDate1Label
devicecustomdate2,DeviceCustomDate2
devicecustomdate2label,DeviceCustomDate2Label
flexdate1,FlexDate1
flexdate1label,FlexDate1Label
flexnumber1,FlexNumber1
flexnumber1label,FlexNumber1Label
flexnumber2,FlexNumber2
flexnumber2label,FlexNumber2Label
c6a1,DeviceCustomIPv6Address1
c6a1label,DeviceCustomIPv6Address1Label
c6a2,DeviceCustomIPv6Address2
c6a2label,DeviceCustomIPv6Address2Label
c6a3,DeviceCustomIPv6Address3
c6a3label,DeviceCustomIPv6Address3Label
c6a4,DeviceCustomIPv6Address4
c6a4label,DeviceCustomIPv6Address4Label
cfp1,DeviceCustomFloatingPoint1
cfp1label,deviceCustomFloatingPoint1Label
cfp2,DeviceCustomFloatingPoint2
cfp2label,deviceCustomFloatingPoint2Label
cfp3,DeviceCustomFloatingPoint3
cfp3label,deviceCustomFloatingPoint3Label
cfp4,DeviceCustomFloatingPoint4
cfp4label,deviceCustomFloatingPoint4Label
cn1,DeviceCustomNumber1
cn1label,DeviceCustomNumber1Label
cn2,DeviceCustomNumber2
cn2label,DeviceCustomNumber2Label
cn3,DeviceCustomNumber3
cn3label,DeviceCustomNumber3Label
cef_device_product,DeviceProduct
cef_device_vendor,DeviceVendor
cef_device_version,DeviceVersion
